TransactionID,CustomerID,Amount,Currency,SourceCountry,DestinationCountry,Date
TXN1,CUST313,89547,USD,Iran,Switzerland,2025-10-19
TXN2,CUST1880,31584,USD,Iran,USA,2023-01-16
TXN3,CUST607,16063,USD,Venezuela,Yemen,2023-01-04
TXN4,CUST359,45242,USD,Canada,Yemen,2023-08-03
TXN5,CUST2196,84124,USD,Switzerland,North Korea,2025-09-18
TXN6,CUST2298,47748,USD,North Korea,Somalia,2023-04-09
TXN7,CUST4826,42616,USD,Afghanistan,UAE,2025-09-06
TXN8,CUST1675,32318,USD,USA,Panama,2025-02-05
TXN9,CUST100,97990,USD,Mexico,Iraq,2025-06-30
TXN10,CUST53,82071,USD,Iraq,Afghanistan,2023-01-22
TXN11,CUST2351,11136,USD,Iraq,Switzerland,2024-02-13
TXN12,CUST3031,33284,USD,Syria,Russia,2023-01-04
TXN13,CUST4828,36312,USD,Iran,Iraq,2023-07-12
TXN14,CUST1061,46472,USD,Iraq,Canada,2024-02-14
TXN15,CUST4215,97434,USD,Yemen,Venezuela,2025-07-15
TXN16,CUST1363,33706,USD,Germany,Switzerland,2024-05-15
TXN17,CUST1957,25476,USD,Russia,North Korea,2023-04-21
TXN18,CUST4804,3783,USD,Yemen,USA,2025-01-14
TXN19,CUST1585,99663,USD,Switzerland,Venezuela,2023-05-18
TXN20,CUST3068,18525,USD,Japan,Russia,2023-05-09
TXN21,CUST3220,65213,USD,Syria,Switzerland,2024-04-10
TXN22,CUST1984,81579,USD,China,UAE,2025-06-03
TXN23,CUST3562,15335,USD,Somalia,USA,2024-01-01
TXN24,CUST4748,46384,USD,China,Iran,2025-12-17
TXN25,CUST1601,26753,USD,Cayman Islands,UK,2023-09-10
TXN26,CUST2275,63614,USD,Germany,Switzerland,2023-06-14
TXN27,CUST1404,90348,USD,Mexico,Venezuela,2024-12-15
TXN28,CUST2109,22387,USD,Afghanistan,Cayman Islands,2023-05-23
TXN29,CUST3776,74983,USD,Japan,Afghanistan,2023-11-07
TXN30,CUST1330,77003,USD,Afghanistan,USA,2024-02-12
TXN31,CUST3333,72139,USD,Somalia,UAE,2025-01-31
TXN32,CUST2765,94524,USD,Japan,Afghanistan,2024-11-16
TXN33,CUST3574,11088,USD,Venezuela,Somalia,2025-01-10
TXN34,CUST371,79151,USD,Somalia,Iraq,2025-08-01
TXN35,CUST566,76044,USD,Mexico,UK,2023-04-02
TXN36,CUST3156,75891,USD,Germany,Somalia,2024-05-06
TXN37,CUST525,72451,USD,UAE,Switzerland,2023-07-04
TXN38,CUST1765,86047,USD,Mexico,USA,2024-05-23
TXN39,CUST4127,91751,USD,Russia,Switzerland,2023-07-30
TXN40,CUST4948,53681,USD,Venezuela,Canada,2023-07-10
TXN41,CUST1786,64379,USD,Canada,Panama,2024-02-03
TXN42,CUST299,4406,USD,USA,UAE,2023-03-20
TXN43,CUST2400,82925,USD,North Korea,China,2024-08-01
TXN44,CUST2394,63999,USD,Syria,Germany,2023-02-13
TXN45,CUST154,46984,USD,North Korea,UAE,2024-03-11
TXN46,CUST2799,65650,USD,China,Somalia,2025-04-08
TXN47,CUST3490,20553,USD,North Korea,Afghanistan,2025-01-27
TXN48,CUST1006,24399,USD,Somalia,Germany,2025-07-10
TXN49,CUST2742,62751,USD,Iraq,Switzerland,2024-08-25
TXN50,CUST3944,87934,USD,UAE,UK,2024-03-02
TXN51,CUST3771,40791,USD,Russia,Somalia,2024-07-09
TXN52,CUST4284,26133,USD,Cayman Islands,Mexico,2024-01-20
TXN53,CUST339,98315,USD,China,Germany,2025-03-06
TXN54,CUST4355,63217,USD,UK,Japan,2024-12-30
TXN55,CUST4438,43241,USD,Cayman Islands,Russia,2025-04-13
TXN56,CUST4761,54447,USD,UAE,Iraq,2024-06-12
TXN57,CUST4465,7141,USD,China,USA,2025-11-07
TXN58,CUST669,83572,USD,Venezuela,Russia,2023-06-24
TXN59,CUST932,87540,USD,Switzerland,Yemen,2024-01-07
TXN60,CUST2647,35457,USD,China,Japan,2025-04-27
TXN61,CUST4536,25676,USD,USA,Syria,2024-06-14
TXN62,CUST3421,85028,USD,Afghanistan,Venezuela,2024-08-08
TXN63,CUST1945,58217,USD,Germany,Switzerland,2023-03-15
TXN64,CUST2798,56275,USD,Afghanistan,Panama,2025-02-10
TXN65,CUST3551,98355,USD,Panama,Afghanistan,2025-06-30
TXN66,CUST369,27789,USD,Somalia,UAE,2025-12-24
TXN67,CUST2876,16148,USD,Somalia,Germany,2023-10-07
TXN68,CUST768,37518,USD,Venezuela,North Korea,2023-09-16
TXN69,CUST1219,63260,USD,Yemen,Russia,2024-01-15
TXN70,CUST3867,1967,USD,Cayman Islands,Syria,2024-09-19
TXN71,CUST2855,41100,USD,Somalia,Germany,2023-04-20
TXN72,CUST4993,43187,USD,Yemen,UAE,2025-07-14
TXN73,CUST3717,34732,USD,Japan,Syria,2023-04-24
TXN74,CUST4679,16438,USD,Panama,Venezuela,2023-02-15
TXN75,CUST2332,89923,USD,UK,Iran,2023-09-29
TXN76,CUST1456,45839,USD,Venezuela,Yemen,2023-12-03
TXN77,CUST2075,11079,USD,Mexico,Canada,2025-04-16
TXN78,CUST4188,31904,USD,Afghanistan,Mexico,2025-11-13
TXN79,CUST4048,63187,USD,Japan,Canada,2024-09-16
TXN80,CUST2853,3745,USD,Canada,UK,2025-01-13
TXN81,CUST2360,81556,USD,Panama,Mexico,2025-03-30
TXN82,CUST4779,73634,USD,Russia,UK,2024-07-15
TXN83,CUST4297,75067,USD,Somalia,Canada,2025-02-12
TXN84,CUST790,79048,USD,Germany,Iran,2024-11-03
TXN85,CUST3011,731,USD,USA,Switzerland,2023-09-03
TXN86,CUST2044,69294,USD,Japan,Switzerland,2025-03-30
TXN87,CUST443,73974,USD,UK,Afghanistan,2023-12-02
TXN88,CUST4673,4533,USD,North Korea,Japan,2023-12-18
TXN89,CUST269,10912,USD,Iraq,Japan,2024-12-07
TXN90,CUST4189,4560,USD,North Korea,Japan,2024-04-27
TXN91,CUST3843,56218,USD,Venezuela,Russia,2023-02-21
TXN92,CUST4345,4247,USD,Cayman Islands,Syria,2024-11-17
TXN93,CUST3005,40249,USD,Switzerland,Japan,2025-12-18
TXN94,CUST3034,51827,USD,Canada,Iraq,2024-01-01
TXN95,CUST2255,96863,USD,Somalia,Iran,2023-09-17
TXN96,CUST2244,68672,USD,Iraq,China,2025-10-20
TXN97,CUST298,27555,USD,Japan,Mexico,2023-06-01
TXN98,CUST795,62135,USD,Iraq,Canada,2025-10-28
TXN99,CUST1160,51642,USD,Syria,Venezuela,2024-05-16
TXN100,CUST423,61179,USD,Yemen,Russia,2025-02-18
TXN101,CUST3943,77674,USD,Somalia,UK,2023-11-08
TXN102,CUST3302,49948,USD,Yemen,Japan,2025-10-07
TXN103,CUST2388,78340,USD,Venezuela,Afghanistan,2023-02-27
TXN104,CUST2356,51834,USD,Cayman Islands,North Korea,2024-03-02
TXN105,CUST2071,18642,USD,UK,Somalia,2025-11-01
TXN106,CUST4155,20340,USD,Iraq,Japan,2025-04-06
TXN107,CUST4955,35837,USD,Canada,UK,2024-06-11
TXN108,CUST407,99448,USD,UK,Cayman Islands,2024-09-16
TXN109,CUST2592,86048,USD,USA,Iraq,2025-08-25
TXN110,CUST4074,54300,USD,Somalia,China,2024-03-18
TXN111,CUST3936,17038,USD,Iran,Panama,2025-03-10
TXN112,CUST4629,75381,USD,Syria,Germany,2023-10-01
TXN113,CUST4772,83095,USD,Afghanistan,Germany,2024-06-20
TXN114,CUST4230,25097,USD,Yemen,Japan,2025-02-22
TXN115,CUST3464,35271,USD,North Korea,Mexico,2025-05-25
TXN116,CUST2136,35385,USD,UAE,Afghanistan,2023-01-26
TXN117,CUST4055,16064,USD,Syria,Mexico,2024-10-29
TXN118,CUST781,92322,USD,Venezuela,China,2023-05-15
TXN119,CUST4412,16074,USD,Germany,Iran,2023-12-10
TXN120,CUST1181,32142,USD,Japan,Syria,2023-01-10
TXN121,CUST2545,83801,USD,UK,Japan,2025-11-28
TXN122,CUST4,39170,USD,China,Panama,2023-08-13
TXN123,CUST2292,68691,USD,UK,Mexico,2025-01-31
TXN124,CUST2878,23126,USD,UAE,Yemen,2024-05-26
TXN125,CUST1472,3610,USD,Venezuela,Iraq,2025-10-04
TXN126,CUST1980,41195,USD,Japan,Canada,2025-12-24
TXN127,CUST4988,22114,USD,UAE,Somalia,2024-02-07
TXN128,CUST1527,77461,USD,Panama,Cayman Islands,2024-05-02
TXN129,CUST2280,22714,USD,USA,UAE,2025-10-29
TXN130,CUST2366,14693,USD,Canada,Iran,2023-08-08
TXN131,CUST468,4105,USD,North Korea,Canada,2024-02-13
TXN132,CUST4629,20937,USD,Mexico,North Korea,2024-10-14
TXN133,CUST41,63586,USD,Mexico,Canada,2023-04-24
TXN134,CUST836,29199,USD,Venezuela,Afghanistan,2025-11-29
TXN135,CUST4914,36522,USD,Switzerland,Iran,2023-08-20
TXN136,CUST2824,58212,USD,Yemen,Iraq,2024-03-26
TXN137,CUST4120,22700,USD,Japan,Syria,2023-03-11
TXN138,CUST2223,31327,USD,North Korea,UK,2024-09-15
TXN139,CUST3408,38003,USD,Switzerland,Iran,2023-09-09
TXN140,CUST1314,8784,USD,Iran,Cayman Islands,2025-03-22
TXN141,CUST4326,66404,USD,Switzerland,Somalia,2025-08-02
TXN142,CUST4130,94326,USD,Yemen,UK,2025-09-13
TXN143,CUST3635,36203,USD,Mexico,Venezuela,2024-06-23
TXN144,CUST2791,76206,USD,Venezuela,UAE,2024-09-11
TXN145,CUST2889,651,USD,Mexico,North Korea,2024-02-14
TXN146,CUST2827,95546,USD,China,Japan,2025-05-20
TXN147,CUST4811,14542,USD,UK,Germany,2024-11-19
TXN148,CUST4609,37280,USD,Mexico,Iraq,2025-04-09
TXN149,CUST3403,38842,USD,Japan,UK,2023-01-08
TXN150,CUST1308,52187,USD,Russia,Switzerland,2025-12-26
TXN151,CUST538,87938,USD,China,Iran,2024-03-23
TXN152,CUST4253,42441,USD,Yemen,Canada,2025-10-03
TXN153,CUST4356,32856,USD,Canada,Iran,2025-04-24
TXN154,CUST377,48616,USD,Canada,USA,2024-02-05
TXN155,CUST2664,20818,USD,North Korea,Germany,2025-11-21
TXN156,CUST1669,9471,USD,Afghanistan,Germany,2024-12-17
TXN157,CUST4901,12002,USD,Syria,Panama,2023-01-05
TXN158,CUST3632,64800,USD,Canada,Syria,2023-03-10
TXN159,CUST2677,12701,USD,Cayman Islands,Russia,2025-11-14
TXN160,CUST3487,88965,USD,Mexico,Iraq,2024-05-06
TXN161,CUST3478,27894,USD,Cayman Islands,Iran,2025-02-28
TXN162,CUST1799,78974,USD,Syria,China,2025-11-11
TXN163,CUST3165,27208,USD,UAE,Syria,2023-10-23
TXN164,CUST119,97605,USD,Venezuela,UK,2023-04-19
TXN165,CUST570,38976,USD,Japan,Somalia,2024-03-02
TXN166,CUST504,26411,USD,Switzerland,UK,2023-05-23
TXN167,CUST3944,43149,USD,Russia,Panama,2024-09-13
TXN168,CUST3216,53184,USD,Afghanistan,Japan,2023-05-14
TXN169,CUST3262,86767,USD,Panama,Cayman Islands,2023-11-20
TXN170,CUST3281,9705,USD,Iran,Mexico,2023-03-07
TXN171,CUST2888,21394,USD,Switzerland,Japan,2025-08-13
TXN172,CUST3978,3833,USD,Somalia,Cayman Islands,2025-06-03
TXN173,CUST630,73081,USD,UAE,Panama,2023-02-11
TXN174,CUST1772,9921,USD,Syria,Afghanistan,2024-07-31
TXN175,CUST4467,83397,USD,USA,Russia,2023-11-08
TXN176,CUST951,69574,USD,Mexico,UK,2025-10-24
TXN177,CUST1045,30476,USD,Russia,Germany,2023-11-01
TXN178,CUST313,28573,USD,USA,Cayman Islands,2023-04-25
TXN179,CUST2467,34786,USD,Panama,UAE,2023-03-04
TXN180,CUST4618,35419,USD,Russia,Syria,2024-02-29
TXN181,CUST1732,48760,USD,Iran,Afghanistan,2023-08-01
TXN182,CUST3093,8362,USD,China,Syria,2023-05-13
TXN183,CUST4251,92022,USD,China,UK,2024-07-18
TXN184,CUST4896,78459,USD,Iran,Venezuela,2024-07-25
TXN185,CUST3764,50930,USD,Panama,Afghanistan,2025-08-13
TXN186,CUST150,92364,USD,Iraq,Japan,2023-05-21
TXN187,CUST4694,52074,USD,UK,Iran,2024-10-15
TXN188,CUST1414,44292,USD,Venezuela,Afghanistan,2025-09-20
TXN189,CUST318,33449,USD,China,USA,2025-10-08
TXN190,CUST1456,54622,USD,Russia,Afghanistan,2025-06-26
TXN191,CUST2355,66908,USD,UK,China,2024-10-16
TXN192,CUST4451,99742,USD,Afghanistan,Panama,2023-02-25
TXN193,CUST2223,15862,USD,Germany,Afghanistan,2023-06-06
TXN194,CUST3166,27321,USD,Germany,China,2024-05-06
TXN195,CUST3175,87650,USD,UK,North Korea,2024-05-06
TXN196,CUST2364,87402,USD,Mexico,Syria,2025-01-27
TXN197,CUST4472,35164,USD,Germany,China,2024-06-10
TXN198,CUST2680,86922,USD,Germany,Yemen,2024-07-13
TXN199,CUST2002,93155,USD,Somalia,Iran,2024-03-24
TXN200,CUST292,39407,USD,Switzerland,Cayman Islands,2025-12-20
TXN201,CUST2459,45901,USD,UAE,Cayman Islands,2024-10-29
TXN202,CUST1107,62929,USD,Venezuela,Iran,2023-10-05
TXN203,CUST803,30496,USD,North Korea,Panama,2025-09-03
TXN204,CUST3219,60118,USD,Afghanistan,Panama,2023-11-07
TXN205,CUST104,30910,USD,Yemen,Mexico,2025-09-09
TXN206,CUST4258,19900,USD,Canada,Venezuela,2023-05-01
TXN207,CUST2891,21802,USD,China,UAE,2024-04-26
TXN208,CUST4603,13016,USD,North Korea,Iraq,2025-01-13
TXN209,CUST754,38052,USD,UK,Afghanistan,2025-03-08
TXN210,CUST3990,81860,USD,Yemen,USA,2025-04-17
TXN211,CUST1321,55810,USD,Germany,UK,2025-05-11
TXN212,CUST1383,70438,USD,Iran,UAE,2023-03-21
TXN213,CUST3857,62725,USD,Russia,USA,2025-07-30
TXN214,CUST4732,50754,USD,Canada,Germany,2025-04-20
TXN215,CUST4857,13371,USD,Syria,North Korea,2023-05-08
TXN216,CUST4860,22699,USD,Afghanistan,China,2023-03-21
TXN217,CUST2830,92884,USD,Russia,Cayman Islands,2025-07-19
TXN218,CUST2602,87889,USD,Iran,Germany,2025-11-14
TXN219,CUST1319,27332,USD,Somalia,USA,2025-07-15
TXN220,CUST1540,93227,USD,UK,Canada,2024-01-22
TXN221,CUST299,16102,USD,Germany,USA,2023-09-26
TXN222,CUST2000,23240,USD,Yemen,UAE,2025-03-01
TXN223,CUST1574,52072,USD,USA,Mexico,2023-11-30
TXN224,CUST2344,61670,USD,Japan,Yemen,2024-10-14
TXN225,CUST1253,75726,USD,Switzerland,Iran,2025-06-22
TXN226,CUST2390,6910,USD,Yemen,Japan,2023-11-17
TXN227,CUST1401,95073,USD,Venezuela,Canada,2024-09-06
TXN228,CUST4981,48066,USD,Yemen,Syria,2023-11-27
TXN229,CUST172,59309,USD,China,Syria,2025-12-17
TXN230,CUST177,9255,USD,UK,Iraq,2025-06-23
TXN231,CUST341,8703,USD,Mexico,Germany,2023-08-17
TXN232,CUST4290,73207,USD,Japan,USA,2024-04-21
TXN233,CUST2476,42619,USD,Switzerland,Mexico,2025-09-08
TXN234,CUST4483,40937,USD,Germany,Switzerland,2023-05-03
TXN235,CUST1760,73148,USD,USA,Germany,2023-07-02
TXN236,CUST1238,81029,USD,UK,North Korea,2025-04-24
TXN237,CUST2409,9729,USD,Iraq,China,2025-05-03
TXN238,CUST796,28892,USD,China,Venezuela,2024-08-24
TXN239,CUST3088,28677,USD,Yemen,Syria,2025-12-13
TXN240,CUST832,87642,USD,USA,Afghanistan,2023-07-06
TXN241,CUST227,15364,USD,Switzerland,Japan,2025-05-23
TXN242,CUST2434,42515,USD,Japan,UAE,2023-03-24
TXN243,CUST3435,32565,USD,North Korea,Yemen,2023-03-24
TXN244,CUST4523,65481,USD,Iraq,Yemen,2023-05-21
TXN245,CUST2715,44326,USD,Iraq,Yemen,2024-10-05
TXN246,CUST4896,14454,USD,Canada,Japan,2025-08-28
TXN247,CUST2778,74323,USD,Yemen,Iraq,2024-03-25
TXN248,CUST69,24622,USD,Venezuela,USA,2025-04-27
TXN249,CUST35,74956,USD,Iran,Iraq,2024-02-15
TXN250,CUST2775,63565,USD,Somalia,Panama,2025-06-17
TXN251,CUST1862,85845,USD,Switzerland,Iraq,2025-06-26
TXN252,CUST4148,30513,USD,USA,UK,2023-03-03
TXN253,CUST2471,9686,USD,Cayman Islands,Germany,2025-06-29
TXN254,CUST3189,81060,USD,USA,Canada,2023-09-14
TXN255,CUST4653,39618,USD,Venezuela,Syria,2023-08-02
TXN256,CUST2091,96017,USD,Mexico,North Korea,2024-10-09
TXN257,CUST1650,35461,USD,Afghanistan,Switzerland,2024-12-11
TXN258,CUST931,53408,USD,Russia,Somalia,2024-11-07
TXN259,CUST2063,85538,USD,North Korea,China,2023-06-22
TXN260,CUST2595,74934,USD,Switzerland,USA,2023-08-10
